latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
30.04695,77.99404,336.38,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,299.11,4.28,D,0
30.17468,76.81896,333.13,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,300.4,2.69,D,0
30.41798,77.01653,328.1,0.4,0.37,2025-02-23,750,N,VIIRS,n,2,296.61,1.22,D,0
30.42292,77.80062,332.65,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,302.45,2.29,D,0
30.52328,77.47179,338.4,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,298.38,2.97,D,0
30.68386,75.95338,325.43,0.42,0.38,2025-02-23,750,N,VIIRS,n,2,297.84,3.22,D,0
30.68461,75.95776,329.95,0.42,0.38,2025-02-23,750,N,VIIRS,n,2,295.9,3.22,D,0
30.96366,78.04569,331.9,0.38,0.36,2025-02-23,750,N,VIIRS,n,2,291.8,7.78,D,0
31.01358,77.46319,341.45,0.39,0.36,2025-02-23,750,N,VIIRS,n,2,303.03,5.05,D,0
31.09729,76.18968,329.55,0.41,0.37,2025-02-23,750,N,VIIRS,n,2,295.34,2.64,D,0
28.70951,77.68356,302.59,0.53,0.42,2025-02-23,2014,N,VIIRS,n,2,283.46,0.65,N,0
28.72747,77.1581,300.33,0.56,0.43,2025-02-23,2014,N,VIIRS,n,2,286.96,0.75,N,2
28.9022,78.05313,312.09,0.51,0.41,2025-02-23,2014,N,VIIRS,n,2,281.79,1.36,N,0
28.90598,78.05373,299.02,0.51,0.41,2025-02-23,2014,N,VIIRS,n,2,281.53,0.46,N,0
29.45533,76.86767,306.46,0.39,0.44,2025-02-23,2014,N,VIIRS,n,2,287.91,0.87,N,2
26.6399,79.47787,297.02,0.42,0.38,2025-02-23,2015,N,VIIRS,n,2,286.26,0.58,N,2
27.61832,76.12923,303.38,0.41,0.45,2025-02-23,2015,N,VIIRS,n,2,282.33,1.03,N,0
28.36723,77.2269,298.11,0.55,0.43,2025-02-23,2015,N,VIIRS,n,2,283.76,0.76,N,0
28.42016,77.00313,296.41,0.57,0.43,2025-02-23,2015,N,VIIRS,n,2,285.63,0.51,N,0
28.7295,77.15775,297.88,0.56,0.43,2025-02-23,2015,N,VIIRS,n,2,287.32,0.71,N,2
26.15017,78.29492,335.02,0.42,0.45,2025-02-24,730,N,VIIRS,n,2,306.25,3.12,D,0
26.41878,79.22179,333.22,0.56,0.43,2025-02-24,730,N,VIIRS,n,2,301.55,3.74,D,0
26.53211,79.30801,331.26,0.55,0.43,2025-02-24,730,N,VIIRS,n,2,299.01,6.16,D,0
27.53671,79.54044,333.93,0.52,0.41,2025-02-24,730,N,VIIRS,n,2,301.69,4.99,D,0
28.05722,78.49833,330.95,0.57,0.43,2025-02-24,731,N,VIIRS,n,2,296.37,2.1,D,0
28.2894,78.12269,334.7,0.4,0.44,2025-02-24,731,N,VIIRS,n,2,297.69,2.35,D,0
28.28979,78.12251,330.39,0.4,0.44,2025-02-24,731,N,VIIRS,n,2,297.26,1.84,D,0
28.29819,78.69355,331.13,0.55,0.43,2025-02-24,731,N,VIIRS,n,2,295.61,3.67,D,0
28.39801,78.26954,327.4,0.39,0.44,2025-02-24,731,N,VIIRS,n,2,299.71,1.91,D,0
28.4731,78.09362,333.47,0.39,0.44,2025-02-24,731,N,VIIRS,n,2,298.45,2.94,D,0
28.69625,77.82275,327.78,0.4,0.44,2025-02-24,731,N,VIIRS,n,2,298.86,1.24,D,0
28.7193,78.23536,327.89,0.38,0.43,2025-02-24,731,N,VIIRS,n,2,296.55,2.83,D,0
28.87519,78.06454,340.22,0.39,0.44,2025-02-24,731,N,VIIRS,n,2,295.9,5.79,D,0
28.95111,79.04279,328.59,0.52,0.41,2025-02-24,731,N,VIIRS,n,2,302.33,3.8,D,0
28.95529,76.25172,326.19,0.49,0.48,2025-02-24,731,N,VIIRS,n,2,293.28,2.69,D,0
